kommune;ags;land;gitter_id;wohnflaeche_m2;herkunft;quelle_url;zugriff
Grimma;14729160;SN;CRS3035RES100mN3122300E4515600;447.72;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122300E4515700;1077.44;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122300E4516000;343.50;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4506800;410.01;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4506900;532.35;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4508700;872.16;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4509000;426.94;fallback_kommune;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4509100;265.92;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4509200;425.40;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4515600;557.08;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122400E4515700;955.90;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
